inicioEsp,finEsp,locutor,enunciado,numEspectrogramaMFCCArchivo,numEspectrogramaMFCCIntervalo
0.0,0.25,bcn01011,T0unocinco,0,0
0.1,0.35,bcn01011,T0unocinco,1,1
0.2,0.45,bcn01011,T0unocinco,2,2
0.3,0.55,bcn01011,T0unocinco,3,3
0.4,0.65,bcn01011,T0unocinco,4,4
0.5,0.75,bcn01011,T0unocinco,5,5
0.6,0.85,bcn01011,T0unocinco,6,6
0.7,0.95,bcn01011,T0unocinco,7,7
0.8,1.05,bcn01011,T0unocinco,8,8
0.9,1.15,bcn01011,T0unocinco,9,9
1.0,1.25,bcn01011,T0unocinco,10,10
1.1,1.35,bcn01011,T0unocinco,11,11
1.2,1.45,bcn01011,T0unocinco,12,12
1.3,1.55,bcn01011,T0unocinco,13,13
1.4,1.65,bcn01011,T0unocinco,14,14
1.5,1.75,bcn01011,T0unocinco,15,15
1.6,1.85,bcn01011,T0unocinco,16,16
1.7,1.95,bcn01011,T0unocinco,17,17
1.8,2.05,bcn01011,T0unocinco,18,18
1.9,2.15,bcn01011,T0unocinco,19,19
2.0,2.25,bcn01011,T0unocinco,20,20
2.1,2.35,bcn01011,T0unocinco,21,21
2.2,2.45,bcn01011,T0unocinco,22,22
2.3,2.55,bcn01011,T0unocinco,23,23
2.4,2.65,bcn01011,T0unocinco,24,24
2.5,2.75,bcn01011,T0unocinco,25,25
2.6,2.85,bcn01011,T0unocinco,26,26
2.7,2.95,bcn01011,T0unocinco,27,27
2.8,3.05,bcn01011,T0unocinco,28,28
2.9,3.15,bcn01011,T0unocinco,29,29
3.0,3.25,bcn01011,T0unocinco,30,30
3.1,3.35,bcn01011,T0unocinco,31,31
3.2,3.45,bcn01011,T0unocinco,32,32
0.0,0.25,bcn01011,T1unodiez,33,0
0.1,0.35,bcn01011,T1unodiez,34,1
0.2,0.45,bcn01011,T1unodiez,35,2
0.3,0.55,bcn01011,T1unodiez,36,3
0.4,0.65,bcn01011,T1unodiez,37,4
0.5,0.75,bcn01011,T1unodiez,38,5
0.6,0.85,bcn01011,T1unodiez,39,6
0.7,0.95,bcn01011,T1unodiez,40,7
0.8,1.05,bcn01011,T1unodiez,41,8
0.9,1.15,bcn01011,T1unodiez,42,9
1.0,1.25,bcn01011,T1unodiez,43,10
1.1,1.35,bcn01011,T1unodiez,44,11
1.2,1.45,bcn01011,T1unodiez,45,12
1.3,1.55,bcn01011,T1unodiez,46,13
1.4,1.65,bcn01011,T1unodiez,47,14
1.5,1.75,bcn01011,T1unodiez,48,15
1.6,1.85,bcn01011,T1unodiez,49,16
1.7,1.95,bcn01011,T1unodiez,50,17
1.8,2.05,bcn01011,T1unodiez,51,18
1.9,2.15,bcn01011,T1unodiez,52,19
2.0,2.25,bcn01011,T1unodiez,53,20
2.1,2.35,bcn01011,T1unodiez,54,21
2.2,2.45,bcn01011,T1unodiez,55,22
2.3,2.55,bcn01011,T1unodiez,56,23
2.4,2.65,bcn01011,T1unodiez,57,24
2.5,2.75,bcn01011,T1unodiez,58,25
2.6,2.85,bcn01011,T1unodiez,59,26
2.7,2.95,bcn01011,T1unodiez,60,27
2.8,3.05,bcn01011,T1unodiez,61,28
2.9,3.15,bcn01011,T1unodiez,62,29
3.0,3.25,bcn01011,T1unodiez,63,30
3.1,3.35,bcn01011,T1unodiez,64,31
3.2,3.45,bcn01011,T1unodiez,65,32
3.3,3.55,bcn01011,T1unodiez,66,33
3.4,3.65,bcn01011,T1unodiez,67,34
3.5,3.75,bcn01011,T1unodiez,68,35
3.6,3.85,bcn01011,T1unodiez,69,36
3.7,3.95,bcn01011,T1unodiez,70,37
3.8,4.05,bcn01011,T1unodiez,71,38
3.9,4.15,bcn01011,T1unodiez,72,39
4.0,4.25,bcn01011,T1unodiez,73,40
4.1,4.35,bcn01011,T1unodiez,74,41
0.0,0.25,bcn01011,T2pa,75,0
0.1,0.35,bcn01011,T2pa,76,1
0.2,0.45,bcn01011,T2pa,77,2
0.3,0.55,bcn01011,T2pa,78,3
0.4,0.65,bcn01011,T2pa,79,4
0.5,0.75,bcn01011,T2pa,80,5
0.6,0.85,bcn01011,T2pa,81,6
0.7,0.95,bcn01011,T2pa,82,7
0.8,1.05,bcn01011,T2pa,83,8
0.9,1.15,bcn01011,T2pa,84,9
1.0,1.25,bcn01011,T2pa,85,10
1.1,1.35,bcn01011,T2pa,86,11
1.2,1.45,bcn01011,T2pa,87,12
1.3,1.55,bcn01011,T2pa,88,13
1.4,1.65,bcn01011,T2pa,89,14
1.5,1.75,bcn01011,T2pa,90,15
1.6,1.85,bcn01011,T2pa,91,16
1.7,1.95,bcn01011,T2pa,92,17
1.8,2.05,bcn01011,T2pa,93,18
1.9,2.15,bcn01011,T2pa,94,19
2.0,2.25,bcn01011,T2pa,95,20
2.1,2.35,bcn01011,T2pa,96,21
2.2,2.45,bcn01011,T2pa,97,22
2.3,2.55,bcn01011,T2pa,98,23
