inicioEsp,finEsp,locutor,enunciado,numEspectrogramaMFCCArchivo,numEspectrogramaMFCCIntervalo
0.0,0.25,fin11009b,T0unocinco,0,0
0.1,0.35,fin11009b,T0unocinco,1,1
0.2,0.45,fin11009b,T0unocinco,2,2
0.3,0.55,fin11009b,T0unocinco,3,3
0.4,0.65,fin11009b,T0unocinco,4,4
0.5,0.75,fin11009b,T0unocinco,5,5
0.6,0.85,fin11009b,T0unocinco,6,6
0.7,0.95,fin11009b,T0unocinco,7,7
0.8,1.05,fin11009b,T0unocinco,8,8
0.9,1.15,fin11009b,T0unocinco,9,9
1.0,1.25,fin11009b,T0unocinco,10,10
1.1,1.35,fin11009b,T0unocinco,11,11
1.2,1.45,fin11009b,T0unocinco,12,12
1.3,1.55,fin11009b,T0unocinco,13,13
1.4,1.65,fin11009b,T0unocinco,14,14
1.5,1.75,fin11009b,T0unocinco,15,15
0.0,0.25,fin11009b,T1unodiez,16,0
0.1,0.35,fin11009b,T1unodiez,17,1
0.2,0.45,fin11009b,T1unodiez,18,2
0.3,0.55,fin11009b,T1unodiez,19,3
0.4,0.65,fin11009b,T1unodiez,20,4
0.5,0.75,fin11009b,T1unodiez,21,5
0.6,0.85,fin11009b,T1unodiez,22,6
0.7,0.95,fin11009b,T1unodiez,23,7
0.8,1.05,fin11009b,T1unodiez,24,8
0.9,1.15,fin11009b,T1unodiez,25,9
1.0,1.25,fin11009b,T1unodiez,26,10
1.1,1.35,fin11009b,T1unodiez,27,11
1.2,1.45,fin11009b,T1unodiez,28,12
1.3,1.55,fin11009b,T1unodiez,29,13
1.4,1.65,fin11009b,T1unodiez,30,14
1.5,1.75,fin11009b,T1unodiez,31,15
1.6,1.85,fin11009b,T1unodiez,32,16
1.7,1.95,fin11009b,T1unodiez,33,17
1.8,2.05,fin11009b,T1unodiez,34,18
1.9,2.15,fin11009b,T1unodiez,35,19
2.0,2.25,fin11009b,T1unodiez,36,20
2.1,2.35,fin11009b,T1unodiez,37,21
2.2,2.45,fin11009b,T1unodiez,38,22
2.3,2.55,fin11009b,T1unodiez,39,23
2.4,2.65,fin11009b,T1unodiez,40,24
2.5,2.75,fin11009b,T1unodiez,41,25
2.6,2.85,fin11009b,T1unodiez,42,26
2.7,2.95,fin11009b,T1unodiez,43,27
2.8,3.05,fin11009b,T1unodiez,44,28
2.9,3.15,fin11009b,T1unodiez,45,29
3.0,3.25,fin11009b,T1unodiez,46,30
3.1,3.35,fin11009b,T1unodiez,47,31
3.2,3.45,fin11009b,T1unodiez,48,32
0.0,0.25,fin11009b,T2pa,49,0
0.1,0.35,fin11009b,T2pa,50,1
0.2,0.45,fin11009b,T2pa,51,2
0.3,0.55,fin11009b,T2pa,52,3
0.4,0.65,fin11009b,T2pa,53,4
0.5,0.75,fin11009b,T2pa,54,5
0.6,0.85,fin11009b,T2pa,55,6
0.7,0.95,fin11009b,T2pa,56,7
0.8,1.05,fin11009b,T2pa,57,8
0.9,1.15,fin11009b,T2pa,58,9
1.0,1.25,fin11009b,T2pa,59,10
1.1,1.35,fin11009b,T2pa,60,11
1.2,1.45,fin11009b,T2pa,61,12
1.3,1.55,fin11009b,T2pa,62,13
1.4,1.65,fin11009b,T2pa,63,14
1.5,1.75,fin11009b,T2pa,64,15
1.6,1.85,fin11009b,T2pa,65,16
1.7,1.95,fin11009b,T2pa,66,17
1.8,2.05,fin11009b,T2pa,67,18
1.9,2.15,fin11009b,T2pa,68,19
2.0,2.25,fin11009b,T2pa,69,20
2.1,2.35,fin11009b,T2pa,70,21
2.2,2.45,fin11009b,T2pa,71,22
2.3,2.55,fin11009b,T2pa,72,23
2.4,2.65,fin11009b,T2pa,73,24
2.5,2.75,fin11009b,T2pa,74,25
2.6,2.85,fin11009b,T2pa,75,26
2.7,2.95,fin11009b,T2pa,76,27
2.8,3.05,fin11009b,T2pa,77,28
2.9,3.15,fin11009b,T2pa,78,29
3.0,3.25,fin11009b,T2pa,79,30
3.1,3.35,fin11009b,T2pa,80,31
3.2,3.45,fin11009b,T2pa,81,32
0.0,0.25,fin11009b,T2pi,82,0
0.1,0.35,fin11009b,T2pi,83,1
0.2,0.45,fin11009b,T2pi,84,2
0.3,0.55,fin11009b,T2pi,85,3
0.4,0.65,fin11009b,T2pi,86,4
0.5,0.75,fin11009b,T2pi,87,5
0.6,0.85,fin11009b,T2pi,88,6
0.7,0.95,fin11009b,T2pi,89,7
0.8,1.05,fin11009b,T2pi,90,8
0.9,1.15,fin11009b,T2pi,91,9
1.0,1.25,fin11009b,T2pi,92,10
1.1,1.35,fin11009b,T2pi,93,11
1.2,1.45,fin11009b,T2pi,94,12
1.3,1.55,fin11009b,T2pi,95,13
1.4,1.65,fin11009b,T2pi,96,14
1.5,1.75,fin11009b,T2pi,97,15
1.6,1.85,fin11009b,T2pi,98,16
1.7,1.95,fin11009b,T2pi,99,17
1.8,2.05,fin11009b,T2pi,100,18
1.9,2.15,fin11009b,T2pi,101,19
2.0,2.25,fin11009b,T2pi,102,20
2.1,2.35,fin11009b,T2pi,103,21
2.2,2.45,fin11009b,T2pi,104,22
2.3,2.55,fin11009b,T2pi,105,23
2.4,2.65,fin11009b,T2pi,106,24
2.5,2.75,fin11009b,T2pi,107,25
2.6,2.85,fin11009b,T2pi,108,26
2.7,2.95,fin11009b,T2pi,109,27
2.8,3.05,fin11009b,T2pi,110,28
2.9,3.15,fin11009b,T2pi,111,29
3.0,3.25,fin11009b,T2pi,112,30
3.1,3.35,fin11009b,T2pi,113,31
3.2,3.45,fin11009b,T2pi,114,32
3.3,3.55,fin11009b,T2pi,115,33
3.4,3.65,fin11009b,T2pi,116,34
3.5,3.75,fin11009b,T2pi,117,35
3.6,3.85,fin11009b,T2pi,118,36
0.0,0.25,fin11009b,T2ta,119,0
0.1,0.35,fin11009b,T2ta,120,1
0.2,0.45,fin11009b,T2ta,121,2
0.3,0.55,fin11009b,T2ta,122,3
0.4,0.65,fin11009b,T2ta,123,4
0.5,0.75,fin11009b,T2ta,124,5
0.6,0.85,fin11009b,T2ta,125,6
0.7,0.95,fin11009b,T2ta,126,7
0.8,1.05,fin11009b,T2ta,127,8
0.9,1.15,fin11009b,T2ta,128,9
1.0,1.25,fin11009b,T2ta,129,10
1.1,1.35,fin11009b,T2ta,130,11
1.2,1.45,fin11009b,T2ta,131,12
1.3,1.55,fin11009b,T2ta,132,13
1.4,1.65,fin11009b,T2ta,133,14
1.5,1.75,fin11009b,T2ta,134,15
1.6,1.85,fin11009b,T2ta,135,16
1.7,1.95,fin11009b,T2ta,136,17
1.8,2.05,fin11009b,T2ta,137,18
1.9,2.15,fin11009b,T2ta,138,19
2.0,2.25,fin11009b,T2ta,139,20
2.1,2.35,fin11009b,T2ta,140,21
2.2,2.45,fin11009b,T2ta,141,22
2.3,2.55,fin11009b,T2ta,142,23
2.4,2.65,fin11009b,T2ta,143,24
2.5,2.75,fin11009b,T2ta,144,25
2.6,2.85,fin11009b,T2ta,145,26
2.7,2.95,fin11009b,T2ta,146,27
2.8,3.05,fin11009b,T2ta,147,28
2.9,3.15,fin11009b,T2ta,148,29
0.0,0.25,fin11009b,T2ti,149,0
0.1,0.35,fin11009b,T2ti,150,1
0.2,0.45,fin11009b,T2ti,151,2
0.3,0.55,fin11009b,T2ti,152,3
0.4,0.65,fin11009b,T2ti,153,4
0.5,0.75,fin11009b,T2ti,154,5
0.6,0.85,fin11009b,T2ti,155,6
0.7,0.95,fin11009b,T2ti,156,7
0.8,1.05,fin11009b,T2ti,157,8
0.9,1.15,fin11009b,T2ti,158,9
1.0,1.25,fin11009b,T2ti,159,10
1.1,1.35,fin11009b,T2ti,160,11
1.2,1.45,fin11009b,T2ti,161,12
1.3,1.55,fin11009b,T2ti,162,13
1.4,1.65,fin11009b,T2ti,163,14
1.5,1.75,fin11009b,T2ti,164,15
1.6,1.85,fin11009b,T2ti,165,16
1.7,1.95,fin11009b,T2ti,166,17
1.8,2.05,fin11009b,T2ti,167,18
1.9,2.15,fin11009b,T2ti,168,19
2.0,2.25,fin11009b,T2ti,169,20
2.1,2.35,fin11009b,T2ti,170,21
2.2,2.45,fin11009b,T2ti,171,22
2.3,2.55,fin11009b,T2ti,172,23
2.4,2.65,fin11009b,T2ti,173,24
2.5,2.75,fin11009b,T2ti,174,25
2.6,2.85,fin11009b,T2ti,175,26
2.7,2.95,fin11009b,T2ti,176,27
2.8,3.05,fin11009b,T2ti,177,28
2.9,3.15,fin11009b,T2ti,178,29
3.0,3.25,fin11009b,T2ti,179,30
3.1,3.35,fin11009b,T2ti,180,31
3.2,3.45,fin11009b,T2ti,181,32
3.3,3.55,fin11009b,T2ti,182,33
3.4,3.65,fin11009b,T2ti,183,34
3.5,3.75,fin11009b,T2ti,184,35
3.6,3.85,fin11009b,T2ti,185,36
3.7,3.95,fin11009b,T2ti,186,37
3.8,4.05,fin11009b,T2ti,187,38
3.9,4.15,fin11009b,T2ti,188,39
4.0,4.25,fin11009b,T2ti,189,40
4.1,4.35,fin11009b,T2ti,190,41
4.2,4.45,fin11009b,T2ti,191,42
4.3,4.55,fin11009b,T2ti,192,43
4.4,4.65,fin11009b,T2ti,193,44
0.0,0.25,fin11009b,T2ka,194,0
0.1,0.35,fin11009b,T2ka,195,1
0.2,0.45,fin11009b,T2ka,196,2
0.3,0.55,fin11009b,T2ka,197,3
0.4,0.65,fin11009b,T2ka,198,4
0.5,0.75,fin11009b,T2ka,199,5
0.6,0.85,fin11009b,T2ka,200,6
0.7,0.95,fin11009b,T2ka,201,7
0.8,1.05,fin11009b,T2ka,202,8
0.9,1.15,fin11009b,T2ka,203,9
1.0,1.25,fin11009b,T2ka,204,10
1.1,1.35,fin11009b,T2ka,205,11
1.2,1.45,fin11009b,T2ka,206,12
1.3,1.55,fin11009b,T2ka,207,13
1.4,1.65,fin11009b,T2ka,208,14
1.5,1.75,fin11009b,T2ka,209,15
1.6,1.85,fin11009b,T2ka,210,16
1.7,1.95,fin11009b,T2ka,211,17
1.8,2.05,fin11009b,T2ka,212,18
1.9,2.15,fin11009b,T2ka,213,19
2.0,2.25,fin11009b,T2ka,214,20
2.1,2.35,fin11009b,T2ka,215,21
2.2,2.45,fin11009b,T2ka,216,22
2.3,2.55,fin11009b,T2ka,217,23
2.4,2.65,fin11009b,T2ka,218,24
2.5,2.75,fin11009b,T2ka,219,25
2.6,2.85,fin11009b,T2ka,220,26
2.7,2.95,fin11009b,T2ka,221,27
2.8,3.05,fin11009b,T2ka,222,28
2.9,3.15,fin11009b,T2ka,223,29
3.0,3.25,fin11009b,T2ka,224,30
3.1,3.35,fin11009b,T2ka,225,31
3.2,3.45,fin11009b,T2ka,226,32
