inicioEsp,finEsp,locutor,enunciado,numEspectrogramaMFCCArchivo,numEspectrogramaMFCCIntervalo
0.0,0.25,fin96815,T0unocinco,0,0
0.1,0.35,fin96815,T0unocinco,1,1
0.2,0.45,fin96815,T0unocinco,2,2
0.3,0.55,fin96815,T0unocinco,3,3
0.4,0.65,fin96815,T0unocinco,4,4
0.5,0.75,fin96815,T0unocinco,5,5
0.6,0.85,fin96815,T0unocinco,6,6
0.7,0.95,fin96815,T0unocinco,7,7
0.8,1.05,fin96815,T0unocinco,8,8
0.9,1.15,fin96815,T0unocinco,9,9
1.0,1.25,fin96815,T0unocinco,10,10
1.1,1.35,fin96815,T0unocinco,11,11
1.2,1.45,fin96815,T0unocinco,12,12
1.3,1.55,fin96815,T0unocinco,13,13
1.4,1.65,fin96815,T0unocinco,14,14
1.5,1.75,fin96815,T0unocinco,15,15
1.6,1.85,fin96815,T0unocinco,16,16
1.7,1.95,fin96815,T0unocinco,17,17
1.8,2.05,fin96815,T0unocinco,18,18
1.9,2.15,fin96815,T0unocinco,19,19
0.0,0.25,fin96815,T1unodiez,20,0
0.1,0.35,fin96815,T1unodiez,21,1
0.2,0.45,fin96815,T1unodiez,22,2
0.3,0.55,fin96815,T1unodiez,23,3
0.4,0.65,fin96815,T1unodiez,24,4
0.5,0.75,fin96815,T1unodiez,25,5
0.6,0.85,fin96815,T1unodiez,26,6
0.7,0.95,fin96815,T1unodiez,27,7
0.8,1.05,fin96815,T1unodiez,28,8
0.9,1.15,fin96815,T1unodiez,29,9
1.0,1.25,fin96815,T1unodiez,30,10
1.1,1.35,fin96815,T1unodiez,31,11
1.2,1.45,fin96815,T1unodiez,32,12
1.3,1.55,fin96815,T1unodiez,33,13
1.4,1.65,fin96815,T1unodiez,34,14
1.5,1.75,fin96815,T1unodiez,35,15
1.6,1.85,fin96815,T1unodiez,36,16
1.7,1.95,fin96815,T1unodiez,37,17
1.8,2.05,fin96815,T1unodiez,38,18
1.9,2.15,fin96815,T1unodiez,39,19
2.0,2.25,fin96815,T1unodiez,40,20
2.1,2.35,fin96815,T1unodiez,41,21
2.2,2.45,fin96815,T1unodiez,42,22
2.3,2.55,fin96815,T1unodiez,43,23
