inicioEsp,finEsp,locutor,enunciado,numEspectrogramaMFCCArchivo,numEspectrogramaMFCCIntervalo
0.0,0.25,fin97508c,T0unocinco,0,0
0.1,0.35,fin97508c,T0unocinco,1,1
0.2,0.45,fin97508c,T0unocinco,2,2
0.3,0.55,fin97508c,T0unocinco,3,3
0.4,0.65,fin97508c,T0unocinco,4,4
0.5,0.75,fin97508c,T0unocinco,5,5
0.6,0.85,fin97508c,T0unocinco,6,6
0.7,0.95,fin97508c,T0unocinco,7,7
0.8,1.05,fin97508c,T0unocinco,8,8
0.9,1.15,fin97508c,T0unocinco,9,9
1.0,1.25,fin97508c,T0unocinco,10,10
1.1,1.35,fin97508c,T0unocinco,11,11
1.2,1.45,fin97508c,T0unocinco,12,12
0.0,0.25,fin97508c,T1unodiez,13,0
0.1,0.35,fin97508c,T1unodiez,14,1
0.2,0.45,fin97508c,T1unodiez,15,2
0.3,0.55,fin97508c,T1unodiez,16,3
0.4,0.65,fin97508c,T1unodiez,17,4
0.5,0.75,fin97508c,T1unodiez,18,5
0.6,0.85,fin97508c,T1unodiez,19,6
0.7,0.95,fin97508c,T1unodiez,20,7
0.8,1.05,fin97508c,T1unodiez,21,8
0.9,1.15,fin97508c,T1unodiez,22,9
1.0,1.25,fin97508c,T1unodiez,23,10
1.1,1.35,fin97508c,T1unodiez,24,11
1.2,1.45,fin97508c,T1unodiez,25,12
1.3,1.55,fin97508c,T1unodiez,26,13
1.4,1.65,fin97508c,T1unodiez,27,14
1.5,1.75,fin97508c,T1unodiez,28,15
1.6,1.85,fin97508c,T1unodiez,29,16
1.7,1.95,fin97508c,T1unodiez,30,17
1.8,2.05,fin97508c,T1unodiez,31,18
1.9,2.15,fin97508c,T1unodiez,32,19
2.0,2.25,fin97508c,T1unodiez,33,20
2.1,2.35,fin97508c,T1unodiez,34,21
2.2,2.45,fin97508c,T1unodiez,35,22
2.3,2.55,fin97508c,T1unodiez,36,23
2.4,2.65,fin97508c,T1unodiez,37,24
2.5,2.75,fin97508c,T1unodiez,38,25
2.6,2.85,fin97508c,T1unodiez,39,26
2.7,2.95,fin97508c,T1unodiez,40,27
2.8,3.05,fin97508c,T1unodiez,41,28
0.0,0.25,fin97508c,T2pa,42,0
0.1,0.35,fin97508c,T2pa,43,1
0.2,0.45,fin97508c,T2pa,44,2
0.3,0.55,fin97508c,T2pa,45,3
0.4,0.65,fin97508c,T2pa,46,4
0.5,0.75,fin97508c,T2pa,47,5
0.6,0.85,fin97508c,T2pa,48,6
0.7,0.95,fin97508c,T2pa,49,7
0.8,1.05,fin97508c,T2pa,50,8
0.9,1.15,fin97508c,T2pa,51,9
1.0,1.25,fin97508c,T2pa,52,10
1.1,1.35,fin97508c,T2pa,53,11
1.2,1.45,fin97508c,T2pa,54,12
1.3,1.55,fin97508c,T2pa,55,13
1.4,1.65,fin97508c,T2pa,56,14
1.5,1.75,fin97508c,T2pa,57,15
1.6,1.85,fin97508c,T2pa,58,16
1.7,1.95,fin97508c,T2pa,59,17
1.8,2.05,fin97508c,T2pa,60,18
0.0,0.25,fin97508c,T2pi,61,0
0.1,0.35,fin97508c,T2pi,62,1
0.2,0.45,fin97508c,T2pi,63,2
0.3,0.55,fin97508c,T2pi,64,3
0.4,0.65,fin97508c,T2pi,65,4
0.5,0.75,fin97508c,T2pi,66,5
0.6,0.85,fin97508c,T2pi,67,6
0.7,0.95,fin97508c,T2pi,68,7
0.8,1.05,fin97508c,T2pi,69,8
0.9,1.15,fin97508c,T2pi,70,9
1.0,1.25,fin97508c,T2pi,71,10
1.1,1.35,fin97508c,T2pi,72,11
1.2,1.45,fin97508c,T2pi,73,12
1.3,1.55,fin97508c,T2pi,74,13
1.4,1.65,fin97508c,T2pi,75,14
1.5,1.75,fin97508c,T2pi,76,15
1.6,1.85,fin97508c,T2pi,77,16
1.7,1.95,fin97508c,T2pi,78,17
1.8,2.05,fin97508c,T2pi,79,18
1.9,2.15,fin97508c,T2pi,80,19
2.0,2.25,fin97508c,T2pi,81,20
2.1,2.35,fin97508c,T2pi,82,21
0.0,0.25,fin97508c,T2ta,83,0
0.1,0.35,fin97508c,T2ta,84,1
0.2,0.45,fin97508c,T2ta,85,2
0.3,0.55,fin97508c,T2ta,86,3
0.4,0.65,fin97508c,T2ta,87,4
0.5,0.75,fin97508c,T2ta,88,5
0.6,0.85,fin97508c,T2ta,89,6
0.7,0.95,fin97508c,T2ta,90,7
0.8,1.05,fin97508c,T2ta,91,8
0.9,1.15,fin97508c,T2ta,92,9
1.0,1.25,fin97508c,T2ta,93,10
1.1,1.35,fin97508c,T2ta,94,11
1.2,1.45,fin97508c,T2ta,95,12
1.3,1.55,fin97508c,T2ta,96,13
1.4,1.65,fin97508c,T2ta,97,14
1.5,1.75,fin97508c,T2ta,98,15
1.6,1.85,fin97508c,T2ta,99,16
1.7,1.95,fin97508c,T2ta,100,17
1.8,2.05,fin97508c,T2ta,101,18
1.9,2.15,fin97508c,T2ta,102,19
2.0,2.25,fin97508c,T2ta,103,20
2.1,2.35,fin97508c,T2ta,104,21
2.2,2.45,fin97508c,T2ta,105,22
2.3,2.55,fin97508c,T2ta,106,23
2.4,2.65,fin97508c,T2ta,107,24
2.5,2.75,fin97508c,T2ta,108,25
0.0,0.25,fin97508c,T2ti,109,0
0.1,0.35,fin97508c,T2ti,110,1
0.2,0.45,fin97508c,T2ti,111,2
0.3,0.55,fin97508c,T2ti,112,3
0.4,0.65,fin97508c,T2ti,113,4
0.5,0.75,fin97508c,T2ti,114,5
0.6,0.85,fin97508c,T2ti,115,6
0.7,0.95,fin97508c,T2ti,116,7
0.8,1.05,fin97508c,T2ti,117,8
0.9,1.15,fin97508c,T2ti,118,9
1.0,1.25,fin97508c,T2ti,119,10
1.1,1.35,fin97508c,T2ti,120,11
1.2,1.45,fin97508c,T2ti,121,12
1.3,1.55,fin97508c,T2ti,122,13
1.4,1.65,fin97508c,T2ti,123,14
1.5,1.75,fin97508c,T2ti,124,15
1.6,1.85,fin97508c,T2ti,125,16
1.7,1.95,fin97508c,T2ti,126,17
1.8,2.05,fin97508c,T2ti,127,18
1.9,2.15,fin97508c,T2ti,128,19
2.0,2.25,fin97508c,T2ti,129,20
2.1,2.35,fin97508c,T2ti,130,21
2.2,2.45,fin97508c,T2ti,131,22
2.3,2.55,fin97508c,T2ti,132,23
2.4,2.65,fin97508c,T2ti,133,24
2.5,2.75,fin97508c,T2ti,134,25
2.6,2.85,fin97508c,T2ti,135,26
2.7,2.95,fin97508c,T2ti,136,27
0.0,0.25,fin97508c,T2ka,137,0
0.1,0.35,fin97508c,T2ka,138,1
0.2,0.45,fin97508c,T2ka,139,2
0.3,0.55,fin97508c,T2ka,140,3
0.4,0.65,fin97508c,T2ka,141,4
0.5,0.75,fin97508c,T2ka,142,5
0.6,0.85,fin97508c,T2ka,143,6
0.7,0.95,fin97508c,T2ka,144,7
0.8,1.05,fin97508c,T2ka,145,8
0.9,1.15,fin97508c,T2ka,146,9
1.0,1.25,fin97508c,T2ka,147,10
1.1,1.35,fin97508c,T2ka,148,11
1.2,1.45,fin97508c,T2ka,149,12
1.3,1.55,fin97508c,T2ka,150,13
1.4,1.65,fin97508c,T2ka,151,14
1.5,1.75,fin97508c,T2ka,152,15
1.6,1.85,fin97508c,T2ka,153,16
1.7,1.95,fin97508c,T2ka,154,17
1.8,2.05,fin97508c,T2ka,155,18
1.9,2.15,fin97508c,T2ka,156,19
2.0,2.25,fin97508c,T2ka,157,20
2.1,2.35,fin97508c,T2ka,158,21
2.2,2.45,fin97508c,T2ka,159,22
2.3,2.55,fin97508c,T2ka,160,23
0.0,0.25,fin97508c,T2ki,161,0
0.1,0.35,fin97508c,T2ki,162,1
0.2,0.45,fin97508c,T2ki,163,2
0.3,0.55,fin97508c,T2ki,164,3
0.4,0.65,fin97508c,T2ki,165,4
0.5,0.75,fin97508c,T2ki,166,5
0.6,0.85,fin97508c,T2ki,167,6
0.7,0.95,fin97508c,T2ki,168,7
0.8,1.05,fin97508c,T2ki,169,8
0.9,1.15,fin97508c,T2ki,170,9
1.0,1.25,fin97508c,T2ki,171,10
1.1,1.35,fin97508c,T2ki,172,11
1.2,1.45,fin97508c,T2ki,173,12
1.3,1.55,fin97508c,T2ki,174,13
1.4,1.65,fin97508c,T2ki,175,14
1.5,1.75,fin97508c,T2ki,176,15
1.6,1.85,fin97508c,T2ki,177,16
1.7,1.95,fin97508c,T2ki,178,17
1.8,2.05,fin97508c,T2ki,179,18
1.9,2.15,fin97508c,T2ki,180,19
2.0,2.25,fin97508c,T2ki,181,20
2.1,2.35,fin97508c,T2ki,182,21
2.2,2.45,fin97508c,T2ki,183,22
2.3,2.55,fin97508c,T2ki,184,23
2.4,2.65,fin97508c,T2ki,185,24
2.5,2.75,fin97508c,T2ki,186,25
2.6,2.85,fin97508c,T2ki,187,26
0.0,0.25,fin97508c,T3f,188,0
0.1,0.35,fin97508c,T3f,189,1
0.2,0.45,fin97508c,T3f,190,2
0.3,0.55,fin97508c,T3f,191,3
0.4,0.65,fin97508c,T3f,192,4
0.5,0.75,fin97508c,T3f,193,5
0.6,0.85,fin97508c,T3f,194,6
0.7,0.95,fin97508c,T3f,195,7
0.8,1.05,fin97508c,T3f,196,8
0.9,1.15,fin97508c,T3f,197,9
1.0,1.25,fin97508c,T3f,198,10
1.1,1.35,fin97508c,T3f,199,11
1.2,1.45,fin97508c,T3f,200,12
1.3,1.55,fin97508c,T3f,201,13
1.4,1.65,fin97508c,T3f,202,14
1.5,1.75,fin97508c,T3f,203,15
1.6,1.85,fin97508c,T3f,204,16
0.0,0.25,fin97508c,T3s,205,0
0.1,0.35,fin97508c,T3s,206,1
0.2,0.45,fin97508c,T3s,207,2
0.3,0.55,fin97508c,T3s,208,3
0.4,0.65,fin97508c,T3s,209,4
0.5,0.75,fin97508c,T3s,210,5
0.6,0.85,fin97508c,T3s,211,6
0.7,0.95,fin97508c,T3s,212,7
0.8,1.05,fin97508c,T3s,213,8
0.9,1.15,fin97508c,T3s,214,9
1.0,1.25,fin97508c,T3s,215,10
1.1,1.35,fin97508c,T3s,216,11
1.2,1.45,fin97508c,T3s,217,12
1.3,1.55,fin97508c,T3s,218,13
1.4,1.65,fin97508c,T3s,219,14
1.5,1.75,fin97508c,T3s,220,15
1.6,1.85,fin97508c,T3s,221,16
1.7,1.95,fin97508c,T3s,222,17
1.8,2.05,fin97508c,T3s,223,18
1.9,2.15,fin97508c,T3s,224,19
2.0,2.25,fin97508c,T3s,225,20
2.1,2.35,fin97508c,T3s,226,21
2.2,2.45,fin97508c,T3s,227,22
2.3,2.55,fin97508c,T3s,228,23
2.4,2.65,fin97508c,T3s,229,24
2.5,2.75,fin97508c,T3s,230,25
2.6,2.85,fin97508c,T3s,231,26
2.7,2.95,fin97508c,T3s,232,27
2.8,3.05,fin97508c,T3s,233,28
2.9,3.15,fin97508c,T3s,234,29
3.0,3.25,fin97508c,T3s,235,30
3.1,3.35,fin97508c,T3s,236,31
3.2,3.45,fin97508c,T3s,237,32
0.0,0.25,fin97508c,T4a,238,0
0.1,0.35,fin97508c,T4a,239,1
0.2,0.45,fin97508c,T4a,240,2
0.3,0.55,fin97508c,T4a,241,3
0.4,0.65,fin97508c,T4a,242,4
0.5,0.75,fin97508c,T4a,243,5
0.6,0.85,fin97508c,T4a,244,6
0.7,0.95,fin97508c,T4a,245,7
0.8,1.05,fin97508c,T4a,246,8
0.9,1.15,fin97508c,T4a,247,9
1.0,1.25,fin97508c,T4a,248,10
1.1,1.35,fin97508c,T4a,249,11
1.2,1.45,fin97508c,T4a,250,12
1.3,1.55,fin97508c,T4a,251,13
1.4,1.65,fin97508c,T4a,252,14
1.5,1.75,fin97508c,T4a,253,15
1.6,1.85,fin97508c,T4a,254,16
1.7,1.95,fin97508c,T4a,255,17
1.8,2.05,fin97508c,T4a,256,18
1.9,2.15,fin97508c,T4a,257,19
2.0,2.25,fin97508c,T4a,258,20
2.1,2.35,fin97508c,T4a,259,21
2.2,2.45,fin97508c,T4a,260,22
2.3,2.55,fin97508c,T4a,261,23
2.4,2.65,fin97508c,T4a,262,24
2.5,2.75,fin97508c,T4a,263,25
2.6,2.85,fin97508c,T4a,264,26
2.7,2.95,fin97508c,T4a,265,27
2.8,3.05,fin97508c,T4a,266,28
2.9,3.15,fin97508c,T4a,267,29
3.0,3.25,fin97508c,T4a,268,30
3.1,3.35,fin97508c,T4a,269,31
3.2,3.45,fin97508c,T4a,270,32
3.3,3.55,fin97508c,T4a,271,33
3.4,3.65,fin97508c,T4a,272,34
3.5,3.75,fin97508c,T4a,273,35
0.0,0.25,fin97508c,T5moto,274,0
0.1,0.35,fin97508c,T5moto,275,1
0.0,0.25,fin97508c,T5boca,276,0
0.1,0.35,fin97508c,T5boca,277,1
0.0,0.25,fin97508c,T5piano,278,0
0.1,0.35,fin97508c,T5piano,279,1
0.0,0.25,fin97508c,T5nino,280,0
0.1,0.35,fin97508c,T5nino,281,1
0.0,0.25,fin97508c,T5llave,282,0
0.1,0.35,fin97508c,T5llave,283,1
0.0,0.25,fin97508c,T5luna,284,0
0.1,0.35,fin97508c,T5luna,285,1
0.0,0.25,fin97508c,T5campana,286,0
0.1,0.35,fin97508c,T5campana,287,1
0.2,0.45,fin97508c,T5campana,288,2
0.3,0.55,fin97508c,T5campana,289,3
0.0,0.25,fin97508c,T5indio,290,0
0.1,0.35,fin97508c,T5indio,291,1
0.2,0.45,fin97508c,T5indio,292,2
0.0,0.25,fin97508c,T5dedo,293,0
0.1,0.35,fin97508c,T5dedo,294,1
0.0,0.25,fin97508c,T5gafas,295,0
0.1,0.35,fin97508c,T5gafas,296,1
0.0,0.25,fin97508c,T5silla,297,0
0.1,0.35,fin97508c,T5silla,298,1
0.0,0.25,fin97508c,T5cuchara,299,0
0.1,0.35,fin97508c,T5cuchara,300,1
0.2,0.45,fin97508c,T5cuchara,301,2
0.0,0.25,fin97508c,T5sol,302,0
0.1,0.35,fin97508c,T5sol,303,1
0.0,0.25,fin97508c,T5casa,304,0
0.1,0.35,fin97508c,T5casa,305,1
0.0,0.25,fin97508c,T5jaula,306,0
0.1,0.35,fin97508c,T5jaula,307,1
0.2,0.45,fin97508c,T5jaula,308,2
0.0,0.25,fin97508c,T5zapatos,309,0
0.1,0.35,fin97508c,T5zapatos,310,1
0.2,0.45,fin97508c,T5zapatos,311,2
0.0,0.25,fin97508c,T6AlGato,312,0
0.1,0.35,fin97508c,T6AlGato,313,1
0.2,0.45,fin97508c,T6AlGato,314,2
0.3,0.55,fin97508c,T6AlGato,315,3
0.4,0.65,fin97508c,T6AlGato,316,4
