inicioEsp,finEsp,locutor,enunciado,numEspectrogramaMFCCArchivo,numEspectrogramaMFCCIntervalo
0.0,0.25,nas07408b,T0unocinco,0,0
0.1,0.35,nas07408b,T0unocinco,1,1
0.2,0.45,nas07408b,T0unocinco,2,2
0.3,0.55,nas07408b,T0unocinco,3,3
0.4,0.65,nas07408b,T0unocinco,4,4
0.5,0.75,nas07408b,T0unocinco,5,5
0.6,0.85,nas07408b,T0unocinco,6,6
0.7,0.95,nas07408b,T0unocinco,7,7
0.8,1.05,nas07408b,T0unocinco,8,8
0.9,1.15,nas07408b,T0unocinco,9,9
1.0,1.25,nas07408b,T0unocinco,10,10
1.1,1.35,nas07408b,T0unocinco,11,11
1.2,1.45,nas07408b,T0unocinco,12,12
1.3,1.55,nas07408b,T0unocinco,13,13
1.4,1.65,nas07408b,T0unocinco,14,14
1.5,1.75,nas07408b,T0unocinco,15,15
1.6,1.85,nas07408b,T0unocinco,16,16
1.7,1.95,nas07408b,T0unocinco,17,17
0.0,0.25,nas07408b,T1unodiez,18,0
0.1,0.35,nas07408b,T1unodiez,19,1
0.2,0.45,nas07408b,T1unodiez,20,2
0.3,0.55,nas07408b,T1unodiez,21,3
0.4,0.65,nas07408b,T1unodiez,22,4
0.5,0.75,nas07408b,T1unodiez,23,5
0.6,0.85,nas07408b,T1unodiez,24,6
0.7,0.95,nas07408b,T1unodiez,25,7
0.8,1.05,nas07408b,T1unodiez,26,8
0.9,1.15,nas07408b,T1unodiez,27,9
1.0,1.25,nas07408b,T1unodiez,28,10
1.1,1.35,nas07408b,T1unodiez,29,11
1.2,1.45,nas07408b,T1unodiez,30,12
1.3,1.55,nas07408b,T1unodiez,31,13
1.4,1.65,nas07408b,T1unodiez,32,14
1.5,1.75,nas07408b,T1unodiez,33,15
1.6,1.85,nas07408b,T1unodiez,34,16
1.7,1.95,nas07408b,T1unodiez,35,17
1.8,2.05,nas07408b,T1unodiez,36,18
1.9,2.15,nas07408b,T1unodiez,37,19
2.0,2.25,nas07408b,T1unodiez,38,20
2.1,2.35,nas07408b,T1unodiez,39,21
2.2,2.45,nas07408b,T1unodiez,40,22
2.3,2.55,nas07408b,T1unodiez,41,23
2.4,2.65,nas07408b,T1unodiez,42,24
2.5,2.75,nas07408b,T1unodiez,43,25
2.6,2.85,nas07408b,T1unodiez,44,26
2.7,2.95,nas07408b,T1unodiez,45,27
2.8,3.05,nas07408b,T1unodiez,46,28
2.9,3.15,nas07408b,T1unodiez,47,29
3.0,3.25,nas07408b,T1unodiez,48,30
3.1,3.35,nas07408b,T1unodiez,49,31
3.2,3.45,nas07408b,T1unodiez,50,32
3.3,3.55,nas07408b,T1unodiez,51,33
3.4,3.65,nas07408b,T1unodiez,52,34
3.5,3.75,nas07408b,T1unodiez,53,35
0.0,0.25,nas07408b,T2pa,54,0
0.1,0.35,nas07408b,T2pa,55,1
0.2,0.45,nas07408b,T2pa,56,2
0.3,0.55,nas07408b,T2pa,57,3
0.4,0.65,nas07408b,T2pa,58,4
0.5,0.75,nas07408b,T2pa,59,5
0.6,0.85,nas07408b,T2pa,60,6
0.7,0.95,nas07408b,T2pa,61,7
0.8,1.05,nas07408b,T2pa,62,8
0.9,1.15,nas07408b,T2pa,63,9
1.0,1.25,nas07408b,T2pa,64,10
1.1,1.35,nas07408b,T2pa,65,11
1.2,1.45,nas07408b,T2pa,66,12
1.3,1.55,nas07408b,T2pa,67,13
1.4,1.65,nas07408b,T2pa,68,14
1.5,1.75,nas07408b,T2pa,69,15
1.6,1.85,nas07408b,T2pa,70,16
1.7,1.95,nas07408b,T2pa,71,17
1.8,2.05,nas07408b,T2pa,72,18
1.9,2.15,nas07408b,T2pa,73,19
2.0,2.25,nas07408b,T2pa,74,20
2.1,2.35,nas07408b,T2pa,75,21
0.0,0.25,nas07408b,T2pi,76,0
0.1,0.35,nas07408b,T2pi,77,1
0.2,0.45,nas07408b,T2pi,78,2
0.3,0.55,nas07408b,T2pi,79,3
0.4,0.65,nas07408b,T2pi,80,4
0.5,0.75,nas07408b,T2pi,81,5
0.6,0.85,nas07408b,T2pi,82,6
0.7,0.95,nas07408b,T2pi,83,7
0.8,1.05,nas07408b,T2pi,84,8
0.9,1.15,nas07408b,T2pi,85,9
1.0,1.25,nas07408b,T2pi,86,10
1.1,1.35,nas07408b,T2pi,87,11
1.2,1.45,nas07408b,T2pi,88,12
1.3,1.55,nas07408b,T2pi,89,13
1.4,1.65,nas07408b,T2pi,90,14
1.5,1.75,nas07408b,T2pi,91,15
1.6,1.85,nas07408b,T2pi,92,16
1.7,1.95,nas07408b,T2pi,93,17
1.8,2.05,nas07408b,T2pi,94,18
0.0,0.25,nas07408b,T2ta,95,0
0.1,0.35,nas07408b,T2ta,96,1
0.2,0.45,nas07408b,T2ta,97,2
0.3,0.55,nas07408b,T2ta,98,3
0.4,0.65,nas07408b,T2ta,99,4
0.5,0.75,nas07408b,T2ta,100,5
0.6,0.85,nas07408b,T2ta,101,6
