inicioEsp,finEsp,locutor,numEspectrograma,ratioNasal
3.3,3.55,nas20086,0,0.0
3.4,3.65,nas20086,1,0.0
3.5,3.75,nas20086,2,0.0
3.6,3.85,nas20086,3,0.0
3.7,3.95,nas20086,4,0.0
3.8,4.05,nas20086,5,0.0
3.9,4.15,nas20086,6,0.0
4.0,4.25,nas20086,7,0.0
4.1,4.35,nas20086,8,0.0
4.2,4.45,nas20086,9,0.01
4.3,4.55,nas20086,10,0.41
4.4,4.65,nas20086,11,0.81
4.5,4.75,nas20086,12,0.68
4.6,4.85,nas20086,13,0.28
4.7,4.95,nas20086,14,0.0
4.8,5.05,nas20086,15,0.0
4.9,5.15,nas20086,16,0.0
5.0,5.25,nas20086,17,0.0
5.1,5.35,nas20086,18,0.37
5.2,5.45,nas20086,19,0.24
5.3,5.55,nas20086,20,0.36
5.4,5.65,nas20086,21,0.56
8.0,8.25,nas20086,22,0.0
8.1,8.35,nas20086,23,0.0
8.2,8.45,nas20086,24,0.14
8.3,8.55,nas20086,25,0.0
8.4,8.65,nas20086,26,0.0
8.5,8.75,nas20086,27,0.02
8.6,8.85,nas20086,28,0.0
8.7,8.95,nas20086,29,0.0
8.8,9.05,nas20086,30,0.0
8.9,9.15,nas20086,31,0.18
9.0,9.25,nas20086,32,0.32
9.1,9.35,nas20086,33,0.72
9.2,9.45,nas20086,34,1.0
9.6,9.85,nas20086,35,0.0
9.7,9.95,nas20086,36,0.34
9.8,10.05,nas20086,37,0.74
9.9,10.15,nas20086,38,0.74
10.0,10.25,nas20086,39,0.34
10.1,10.35,nas20086,40,0.0
10.2,10.45,nas20086,41,0.0
10.3,10.55,nas20086,42,0.0
10.4,10.65,nas20086,43,0.0
10.5,10.75,nas20086,44,0.34
10.6,10.85,nas20086,45,0.74
10.7,10.95,nas20086,46,0.62
11.1,11.35,nas20086,47,0.0
11.2,11.45,nas20086,48,0.0
11.3,11.55,nas20086,49,0.18
11.4,11.65,nas20086,50,0.26
11.5,11.75,nas20086,51,0.84
11.6,11.85,nas20086,52,0.62
11.7,11.95,nas20086,53,0.22
11.8,12.05,nas20086,54,0.0
11.9,12.15,nas20086,55,0.0
12.0,12.25,nas20086,56,0.0
12.1,12.35,nas20086,57,0.26
12.2,12.45,nas20086,58,0.66
12.3,12.55,nas20086,59,0.9
12.4,12.65,nas20086,60,0.5
13.2,13.45,nas20086,61,0.23
13.3,13.55,nas20086,62,0.0
13.4,13.65,nas20086,63,0.58
13.5,13.75,nas20086,64,0.18
13.6,13.85,nas20086,65,0.0
13.7,13.95,nas20086,66,0.0
13.8,14.05,nas20086,67,0.14
13.9,14.15,nas20086,68,0.0
14.0,14.25,nas20086,69,0.0
14.1,14.35,nas20086,70,0.06
14.2,14.45,nas20086,71,0.0
14.3,14.55,nas20086,72,0.0
14.4,14.65,nas20086,73,0.0
14.5,14.75,nas20086,74,0.0
14.6,14.85,nas20086,75,0.0
14.7,14.95,nas20086,76,0.0
14.8,15.05,nas20086,77,0.0
15.7,15.95,nas20086,78,0.0
15.8,16.05,nas20086,79,0.0
15.9,16.15,nas20086,80,0.0
16.0,16.25,nas20086,81,0.0
16.1,16.35,nas20086,82,0.0
16.2,16.45,nas20086,83,0.0
16.3,16.55,nas20086,84,0.0
16.4,16.65,nas20086,85,0.0
16.5,16.75,nas20086,86,0.0
16.6,16.85,nas20086,87,0.0
16.7,16.95,nas20086,88,0.0
16.8,17.05,nas20086,89,0.0
17.7,17.95,nas20086,90,0.62
17.8,18.05,nas20086,91,0.7
17.9,18.15,nas20086,92,0.3
18.0,18.25,nas20086,93,0.0
18.1,18.35,nas20086,94,0.0
18.2,18.45,nas20086,95,0.0
18.3,18.55,nas20086,96,0.0
18.4,18.65,nas20086,97,0.0
18.5,18.75,nas20086,98,0.0
18.6,18.85,nas20086,99,0.0
18.7,18.95,nas20086,100,0.03
18.8,19.05,nas20086,101,0.43
18.9,19.15,nas20086,102,0.0
19.0,19.25,nas20086,103,0.3
19.1,19.35,nas20086,104,0.0
19.2,19.45,nas20086,105,0.0
19.7,19.95,nas20086,106,0.0
19.8,20.05,nas20086,107,0.34
19.9,20.15,nas20086,108,0.0
20.0,20.25,nas20086,109,0.0
20.1,20.35,nas20086,110,0.0
20.2,20.45,nas20086,111,0.0
20.3,20.55,nas20086,112,0.0
20.7,20.95,nas20086,113,0.0
20.8,21.05,nas20086,114,0.0
21.2,21.45,nas20086,115,0.0
21.3,21.55,nas20086,116,0.0
21.4,21.65,nas20086,117,0.0
21.5,21.75,nas20086,118,0.0
23.1,23.35,nas20086,119,0.0
23.2,23.45,nas20086,120,0.0
23.3,23.55,nas20086,121,0.0
23.4,23.65,nas20086,122,0.0
23.5,23.75,nas20086,123,0.0
23.6,23.85,nas20086,124,0.0
23.7,23.95,nas20086,125,0.0
23.8,24.05,nas20086,126,0.0
