inicioEsp,finEsp,locutor,numEspectrograma,ratioNasal
3.6,3.85,sjs20004,0,0.0
3.7,3.95,sjs20004,1,0.0
3.8,4.05,sjs20004,2,0.0
3.9,4.15,sjs20004,3,0.0
4.0,4.25,sjs20004,4,0.0
4.1,4.35,sjs20004,5,0.0
4.2,4.45,sjs20004,6,0.0
4.3,4.55,sjs20004,7,0.0
4.4,4.65,sjs20004,8,0.0
4.5,4.75,sjs20004,9,0.0
4.6,4.85,sjs20004,10,0.0
4.7,4.95,sjs20004,11,0.33
4.8,5.05,sjs20004,12,0.73
4.9,5.15,sjs20004,13,0.94
5.0,5.25,sjs20004,14,0.54
5.4,5.65,sjs20004,15,0.0
5.5,5.75,sjs20004,16,0.0
5.6,5.85,sjs20004,17,0.18
5.7,5.95,sjs20004,18,0.02
5.8,6.05,sjs20004,19,0.42
5.9,6.15,sjs20004,20,1.0
6.0,6.25,sjs20004,21,0.68
6.1,6.35,sjs20004,22,0.28
6.2,6.45,sjs20004,23,0.0
6.3,6.55,sjs20004,24,0.0
6.4,6.65,sjs20004,25,0.0
6.5,6.75,sjs20004,26,0.14
6.6,6.85,sjs20004,27,0.0
6.7,6.95,sjs20004,28,0.0
6.8,7.05,sjs20004,29,0.12
6.9,7.15,sjs20004,30,0.0
7.0,7.25,sjs20004,31,0.01
7.1,7.35,sjs20004,32,0.41
7.2,7.45,sjs20004,33,0.0
7.3,7.55,sjs20004,34,0.57
7.4,7.65,sjs20004,35,0.67
7.5,7.75,sjs20004,36,0.9
7.6,7.85,sjs20004,37,0.5
8.8,9.05,sjs20004,38,0.06
8.9,9.15,sjs20004,39,0.46
9.0,9.25,sjs20004,40,0.86
9.1,9.35,sjs20004,41,0.8
9.2,9.45,sjs20004,42,0.4
9.3,9.55,sjs20004,43,0.0
9.4,9.65,sjs20004,44,0.0
9.5,9.75,sjs20004,45,0.0
9.6,9.85,sjs20004,46,0.0
9.7,9.95,sjs20004,47,0.0
9.8,10.05,sjs20004,48,0.22
9.9,10.15,sjs20004,49,0.62
10.0,10.25,sjs20004,50,0.8
10.1,10.35,sjs20004,51,0.4
10.2,10.45,sjs20004,52,0.0
10.6,10.85,sjs20004,53,0.0
10.7,10.95,sjs20004,54,0.58
10.8,11.05,sjs20004,55,0.08
10.9,11.15,sjs20004,56,0.26
11.0,11.25,sjs20004,57,0.76
11.1,11.35,sjs20004,58,0.82
11.2,11.45,sjs20004,59,0.42
11.3,11.55,sjs20004,60,0.02
11.4,11.65,sjs20004,61,0.0
11.5,11.75,sjs20004,62,0.0
11.6,11.85,sjs20004,63,0.0
11.7,11.95,sjs20004,64,0.0
11.8,12.05,sjs20004,65,0.0
12.2,12.45,sjs20004,66,0.52
12.3,12.55,sjs20004,67,0.92
12.4,12.65,sjs20004,68,0.7
12.5,12.75,sjs20004,69,0.3
12.6,12.85,sjs20004,70,0.0
12.7,12.95,sjs20004,71,0.0
12.8,13.05,sjs20004,72,0.1
12.9,13.15,sjs20004,73,0.5
13.0,13.25,sjs20004,74,0.0
13.1,13.35,sjs20004,75,0.4
13.2,13.45,sjs20004,76,0.0
13.3,13.55,sjs20004,77,0.0
13.4,13.65,sjs20004,78,0.0
13.5,13.75,sjs20004,79,0.0
13.6,13.85,sjs20004,80,0.22
13.7,13.95,sjs20004,81,0.0
13.8,14.05,sjs20004,82,0.48
13.9,14.15,sjs20004,83,0.08
14.0,14.25,sjs20004,84,0.0
14.1,14.35,sjs20004,85,0.0
14.2,14.45,sjs20004,86,0.0
14.3,14.55,sjs20004,87,0.0
14.4,14.65,sjs20004,88,0.0
15.3,15.55,sjs20004,89,0.0
15.4,15.65,sjs20004,90,0.0
15.5,15.75,sjs20004,91,0.0
16.9,17.15,sjs20004,92,0.0
17.0,17.25,sjs20004,93,0.0
17.1,17.35,sjs20004,94,0.0
17.2,17.45,sjs20004,95,0.0
17.3,17.55,sjs20004,96,0.0
17.4,17.65,sjs20004,97,0.0
17.5,17.75,sjs20004,98,0.0
17.6,17.85,sjs20004,99,0.0
18.2,18.45,sjs20004,100,0.0
18.3,18.55,sjs20004,101,0.0
18.4,18.65,sjs20004,102,0.0
18.5,18.75,sjs20004,103,0.0
18.6,18.85,sjs20004,104,0.0
19.2,19.45,sjs20004,105,0.5
19.3,19.55,sjs20004,106,0.9
19.4,19.65,sjs20004,107,0.9
19.5,19.75,sjs20004,108,0.5
19.6,19.85,sjs20004,109,0.1
19.7,19.95,sjs20004,110,0.0
19.8,20.05,sjs20004,111,0.0
19.9,20.15,sjs20004,112,0.0
20.5,20.75,sjs20004,113,0.0
20.6,20.85,sjs20004,114,0.0
20.7,20.95,sjs20004,115,0.0
21.7,21.95,sjs20004,116,0.37
21.8,22.05,sjs20004,117,0.0
21.9,22.15,sjs20004,118,0.45
22.0,22.25,sjs20004,119,0.05
22.1,22.35,sjs20004,120,0.0
22.2,22.45,sjs20004,121,0.0
22.3,22.55,sjs20004,122,0.0
22.7,22.95,sjs20004,123,0.92
22.8,23.05,sjs20004,124,0.7
22.9,23.15,sjs20004,125,0.3
23.0,23.25,sjs20004,126,0.0
23.1,23.35,sjs20004,127,0.0
23.2,23.45,sjs20004,128,0.0
23.3,23.55,sjs20004,129,0.0
23.4,23.65,sjs20004,130,0.0
23.5,23.75,sjs20004,131,0.0
23.6,23.85,sjs20004,132,0.0
24.3,24.55,sjs20004,133,0.0
24.4,24.65,sjs20004,134,0.0
24.5,24.75,sjs20004,135,0.0
24.6,24.85,sjs20004,136,0.0
24.7,24.95,sjs20004,137,0.0
24.8,25.05,sjs20004,138,0.0
24.9,25.15,sjs20004,139,0.0
25.0,25.25,sjs20004,140,0.0
25.1,25.35,sjs20004,141,0.0
25.2,25.45,sjs20004,142,0.0
25.3,25.55,sjs20004,143,0.0
25.4,25.65,sjs20004,144,0.0
26.3,26.55,sjs20004,145,0.0
26.4,26.65,sjs20004,146,0.0
26.5,26.75,sjs20004,147,0.0
26.6,26.85,sjs20004,148,0.0
26.7,26.95,sjs20004,149,0.0
26.8,27.05,sjs20004,150,0.0
26.9,27.15,sjs20004,151,0.0
27.0,27.25,sjs20004,152,0.0
27.1,27.35,sjs20004,153,0.0
27.2,27.45,sjs20004,154,0.0
27.3,27.55,sjs20004,155,0.0
27.4,27.65,sjs20004,156,0.0
27.5,27.75,sjs20004,157,0.11
27.6,27.85,sjs20004,158,0.51
27.7,27.95,sjs20004,159,0.0
27.8,28.05,sjs20004,160,0.52
27.9,28.15,sjs20004,161,0.12
28.0,28.25,sjs20004,162,0.0
28.1,28.35,sjs20004,163,0.0
28.2,28.45,sjs20004,164,0.26
28.3,28.55,sjs20004,165,0.66
28.4,28.65,sjs20004,166,1.0
28.5,28.75,sjs20004,167,1.0
28.6,28.85,sjs20004,168,0.9
29.0,29.25,sjs20004,169,1.0
29.1,29.35,sjs20004,170,1.0
29.2,29.45,sjs20004,171,0.7
29.3,29.55,sjs20004,172,0.3
29.4,29.65,sjs20004,173,0.0
29.5,29.75,sjs20004,174,0.0
29.6,29.85,sjs20004,175,0.1
29.7,29.95,sjs20004,176,0.5
29.8,30.05,sjs20004,177,0.0
29.9,30.15,sjs20004,178,0.59
30.0,30.25,sjs20004,179,0.06
30.1,30.35,sjs20004,180,0.79
30.2,30.45,sjs20004,181,0.0
30.3,30.55,sjs20004,182,0.58
30.4,30.65,sjs20004,183,0.18
30.5,30.75,sjs20004,184,0.0
30.6,30.85,sjs20004,185,0.0
30.7,30.95,sjs20004,186,0.0
30.8,31.05,sjs20004,187,0.0
30.9,31.15,sjs20004,188,0.0
32.0,32.25,sjs20004,189,0.0
32.1,32.35,sjs20004,190,0.0
32.2,32.45,sjs20004,191,0.0
33.2,33.45,sjs20004,192,0.0
33.3,33.55,sjs20004,193,0.0
33.4,33.65,sjs20004,194,0.0
33.5,33.75,sjs20004,195,0.0
33.6,33.85,sjs20004,196,0.08
33.7,33.95,sjs20004,197,0.48
33.8,34.05,sjs20004,198,0.0
33.9,34.15,sjs20004,199,0.48
34.0,34.25,sjs20004,200,0.08
34.1,34.35,sjs20004,201,0.18
34.2,34.45,sjs20004,202,0.58
34.3,34.55,sjs20004,203,0.98
34.4,34.65,sjs20004,204,1.0
34.5,34.75,sjs20004,205,0.6
35.7,35.95,sjs20004,206,0.0
35.8,36.05,sjs20004,207,0.0
35.9,36.15,sjs20004,208,0.0
36.0,36.25,sjs20004,209,0.0
36.1,36.35,sjs20004,210,0.0
36.2,36.45,sjs20004,211,0.19
36.3,36.55,sjs20004,212,0.59
36.4,36.65,sjs20004,213,0.0
36.5,36.75,sjs20004,214,0.63
36.6,36.85,sjs20004,215,0.64
36.7,36.95,sjs20004,216,0.8
36.8,37.05,sjs20004,217,0.4
36.9,37.15,sjs20004,218,0.0
37.0,37.25,sjs20004,219,0.0
37.1,37.35,sjs20004,220,0.0
37.2,37.45,sjs20004,221,0.0
37.3,37.55,sjs20004,222,0.0
37.4,37.65,sjs20004,223,0.0
37.5,37.75,sjs20004,224,0.0
37.6,37.85,sjs20004,225,0.0
37.7,37.95,sjs20004,226,0.0
37.8,38.05,sjs20004,227,0.0
37.9,38.15,sjs20004,228,0.0
38.0,38.25,sjs20004,229,0.0
38.1,38.35,sjs20004,230,0.0
38.2,38.45,sjs20004,231,0.0
38.3,38.55,sjs20004,232,0.0
38.4,38.65,sjs20004,233,0.0
38.5,38.75,sjs20004,234,0.14
38.6,38.85,sjs20004,235,0.0
38.7,38.95,sjs20004,236,0.0
