inicioEsp,finEsp,locutor,numEspectrograma,ratioNasal
2.9,3.15,stg20018,0,0.0
3.0,3.25,stg20018,1,0.0
3.1,3.35,stg20018,2,0.0
3.2,3.45,stg20018,3,0.0
3.7,3.95,stg20018,4,0.0
3.8,4.05,stg20018,5,0.0
3.9,4.15,stg20018,6,0.0
4.0,4.25,stg20018,7,0.0
4.1,4.35,stg20018,8,0.0
4.2,4.45,stg20018,9,0.0
4.3,4.55,stg20018,10,0.11
4.4,4.65,stg20018,11,0.51
4.5,4.75,stg20018,12,0.91
4.6,4.85,stg20018,13,0.62
5.0,5.25,stg20018,14,0.0
5.1,5.35,stg20018,15,0.0
5.2,5.45,stg20018,16,0.0
5.3,5.55,stg20018,17,0.22
5.4,5.65,stg20018,18,0.62
5.5,5.75,stg20018,19,1.0
5.6,5.85,stg20018,20,0.22
5.7,5.95,stg20018,21,0.58
5.8,6.05,stg20018,22,0.18
5.9,6.15,stg20018,23,0.0
6.0,6.25,stg20018,24,0.0
6.1,6.35,stg20018,25,0.0
6.2,6.45,stg20018,26,0.0
6.3,6.55,stg20018,27,0.0
6.4,6.65,stg20018,28,0.3
6.5,6.75,stg20018,29,0.0
6.6,6.85,stg20018,30,0.34
6.7,6.95,stg20018,31,0.0
6.8,7.05,stg20018,32,0.22
6.9,7.15,stg20018,33,0.0
7.0,7.25,stg20018,34,0.76
7.1,7.35,stg20018,35,0.76
7.2,7.45,stg20018,36,1.0
7.6,7.85,stg20018,37,0.0
7.7,7.95,stg20018,38,0.3
7.8,8.05,stg20018,39,0.7
7.9,8.15,stg20018,40,0.7
8.0,8.25,stg20018,41,0.3
8.1,8.35,stg20018,42,0.0
8.2,8.45,stg20018,43,0.0
8.3,8.55,stg20018,44,0.0
8.4,8.65,stg20018,45,0.0
8.5,8.75,stg20018,46,0.21
8.6,8.85,stg20018,47,0.61
8.7,8.95,stg20018,48,0.66
8.8,9.05,stg20018,49,0.26
9.2,9.45,stg20018,50,0.0
9.3,9.55,stg20018,51,0.06
9.4,9.65,stg20018,52,0.14
9.5,9.75,stg20018,53,0.22
9.6,9.85,stg20018,54,0.8
9.7,9.95,stg20018,55,0.86
10.5,10.75,stg20018,56,0.0
10.6,10.85,stg20018,57,0.0
10.7,10.95,stg20018,58,0.0
10.8,11.05,stg20018,59,0.14
10.9,11.15,stg20018,60,0.54
11.0,11.25,stg20018,61,0.0
11.1,11.35,stg20018,62,0.46
11.2,11.45,stg20018,63,0.06
11.7,11.95,stg20018,64,0.32
11.8,12.05,stg20018,65,0.72
11.9,12.15,stg20018,66,0.74
12.0,12.25,stg20018,67,0.34
12.1,12.35,stg20018,68,0.0
12.2,12.45,stg20018,69,0.0
12.3,12.55,stg20018,70,0.0
12.4,12.65,stg20018,71,0.13
12.5,12.75,stg20018,72,0.0
12.6,12.85,stg20018,73,0.0
12.7,12.95,stg20018,74,0.18
12.8,13.05,stg20018,75,0.0
12.9,13.15,stg20018,76,0.0
13.0,13.25,stg20018,77,0.0
13.1,13.35,stg20018,78,0.0
13.2,13.45,stg20018,79,0.0
13.3,13.55,stg20018,80,0.0
13.4,13.65,stg20018,81,0.0
13.5,13.75,stg20018,82,0.0
13.6,13.85,stg20018,83,0.0
15.1,15.35,stg20018,84,0.0
15.2,15.45,stg20018,85,0.0
15.3,15.55,stg20018,86,0.0
15.4,15.65,stg20018,87,0.0
15.5,15.75,stg20018,88,0.0
15.6,15.85,stg20018,89,0.0
15.7,15.95,stg20018,90,0.0
15.8,16.05,stg20018,91,0.0
15.9,16.15,stg20018,92,0.0
16.0,16.25,stg20018,93,0.0
16.1,16.35,stg20018,94,0.0
16.2,16.45,stg20018,95,0.0
16.3,16.55,stg20018,96,0.38
16.4,16.65,stg20018,97,0.0
16.5,16.75,stg20018,98,0.5
16.6,16.85,stg20018,99,0.1
16.7,16.95,stg20018,100,0.0
16.8,17.05,stg20018,101,0.0
16.9,17.15,stg20018,102,0.0
17.0,17.25,stg20018,103,0.0
17.1,17.35,stg20018,104,0.0
17.7,17.95,stg20018,105,0.0
17.8,18.05,stg20018,106,0.0
17.9,18.15,stg20018,107,0.4
18.0,18.25,stg20018,108,0.0
18.1,18.35,stg20018,109,0.3
18.2,18.45,stg20018,110,0.0
18.3,18.55,stg20018,111,0.0
18.4,18.65,stg20018,112,0.0
18.8,19.05,stg20018,113,0.0
18.9,19.15,stg20018,114,0.22
19.0,19.25,stg20018,115,0.0
19.1,19.35,stg20018,116,0.0
19.2,19.45,stg20018,117,0.0
19.3,19.55,stg20018,118,0.0
19.4,19.65,stg20018,119,0.0
19.5,19.75,stg20018,120,0.0
19.6,19.85,stg20018,121,0.0
19.7,19.95,stg20018,122,0.0
19.8,20.05,stg20018,123,0.0
19.9,20.15,stg20018,124,0.0
20.0,20.25,stg20018,125,0.0
20.1,20.35,stg20018,126,0.0
20.2,20.45,stg20018,127,0.0
20.3,20.55,stg20018,128,0.0
20.4,20.65,stg20018,129,0.0
20.5,20.75,stg20018,130,0.0
20.6,20.85,stg20018,131,0.0
20.7,20.95,stg20018,132,0.0
20.8,21.05,stg20018,133,0.0
20.9,21.15,stg20018,134,0.0
21.0,21.25,stg20018,135,0.0
22.0,22.25,stg20018,136,0.0
22.1,22.35,stg20018,137,0.0
22.2,22.45,stg20018,138,0.0
22.3,22.55,stg20018,139,0.0
22.4,22.65,stg20018,140,0.0
22.5,22.75,stg20018,141,0.0
23.2,23.45,stg20018,142,0.0
23.3,23.55,stg20018,143,0.0
23.4,23.65,stg20018,144,0.0
23.5,23.75,stg20018,145,0.0
23.6,23.85,stg20018,146,0.0
23.7,23.95,stg20018,147,0.0
23.8,24.05,stg20018,148,0.0
23.9,24.15,stg20018,149,0.0
24.0,24.25,stg20018,150,0.0
24.1,24.35,stg20018,151,0.0
24.2,24.45,stg20018,152,0.0
24.3,24.55,stg20018,153,0.16
24.4,24.65,stg20018,154,0.56
24.5,24.75,stg20018,155,0.0
24.6,24.85,stg20018,156,0.5
24.7,24.95,stg20018,157,0.1
24.8,25.05,stg20018,158,0.0
24.9,25.15,stg20018,159,0.1
25.0,25.25,stg20018,160,0.5
25.1,25.35,stg20018,161,0.9
25.2,25.45,stg20018,162,1.0
25.3,25.55,stg20018,163,1.0
25.7,25.95,stg20018,164,0.0
26.1,26.35,stg20018,165,0.9
26.2,26.45,stg20018,166,1.0
26.3,26.55,stg20018,167,0.7
26.4,26.65,stg20018,168,0.3
26.5,26.75,stg20018,169,0.0
26.6,26.85,stg20018,170,0.0
26.7,26.95,stg20018,171,0.0
26.8,27.05,stg20018,172,0.12
26.9,27.15,stg20018,173,0.0
27.0,27.25,stg20018,174,0.26
27.1,27.35,stg20018,175,0.02
27.2,27.45,stg20018,176,0.8
27.3,27.55,stg20018,177,0.0
27.4,27.65,stg20018,178,0.46
27.5,27.75,stg20018,179,0.06
27.6,27.85,stg20018,180,0.0
27.7,27.95,stg20018,181,0.0
27.8,28.05,stg20018,182,0.0
27.9,28.15,stg20018,183,0.0
28.9,29.15,stg20018,184,0.0
29.0,29.25,stg20018,185,0.0
29.1,29.35,stg20018,186,0.0
29.2,29.45,stg20018,187,0.0
29.3,29.55,stg20018,188,0.0
29.4,29.65,stg20018,189,0.0
29.5,29.75,stg20018,190,0.0
29.6,29.85,stg20018,191,0.0
29.7,29.95,stg20018,192,0.0
29.8,30.05,stg20018,193,0.1
29.9,30.15,stg20018,194,0.5
30.0,30.25,stg20018,195,0.0
30.1,30.35,stg20018,196,0.46
30.2,30.45,stg20018,197,0.06
30.7,30.95,stg20018,198,0.59
30.8,31.05,stg20018,199,0.0
30.9,31.15,stg20018,200,0.58
31.0,31.25,stg20018,201,0.18
31.1,31.35,stg20018,202,0.0
31.2,31.45,stg20018,203,0.0
31.3,31.55,stg20018,204,0.0
31.4,31.65,stg20018,205,0.0
31.5,31.75,stg20018,206,0.0
31.6,31.85,stg20018,207,0.0
31.7,31.95,stg20018,208,0.0
31.8,32.05,stg20018,209,0.38
31.9,32.15,stg20018,210,0.78
32.0,32.25,stg20018,211,0.7
32.4,32.65,stg20018,212,0.92
32.5,32.75,stg20018,213,0.74
32.6,32.85,stg20018,214,0.34
33.4,33.65,stg20018,215,0.0
33.5,33.75,stg20018,216,0.0
33.6,33.85,stg20018,217,0.0
33.7,33.95,stg20018,218,0.0
33.8,34.05,stg20018,219,0.0
33.9,34.15,stg20018,220,0.0
34.0,34.25,stg20018,221,0.0
34.1,34.35,stg20018,222,0.0
34.2,34.45,stg20018,223,0.0
34.3,34.55,stg20018,224,0.0
34.4,34.65,stg20018,225,0.0
34.5,34.75,stg20018,226,0.0
34.6,34.85,stg20018,227,0.0
34.7,34.95,stg20018,228,0.0
34.8,35.05,stg20018,229,0.0
34.9,35.15,stg20018,230,0.14
35.0,35.25,stg20018,231,0.54
35.1,35.35,stg20018,232,0.0
35.2,35.45,stg20018,233,0.26
35.7,35.95,stg20018,234,0.58
35.8,36.05,stg20018,235,0.18
35.9,36.15,stg20018,236,0.0
36.0,36.25,stg20018,237,0.0
36.1,36.35,stg20018,238,0.0
36.2,36.45,stg20018,239,0.17
36.3,36.55,stg20018,240,0.57
36.4,36.65,stg20018,241,0.0
36.5,36.75,stg20018,242,0.34
36.6,36.85,stg20018,243,0.0
36.7,36.95,stg20018,244,0.0
36.8,37.05,stg20018,245,0.0
36.9,37.15,stg20018,246,0.0
37.0,37.25,stg20018,247,0.0
37.1,37.35,stg20018,248,0.26
37.2,37.45,stg20018,249,0.66
37.3,37.55,stg20018,250,0.62
37.4,37.65,stg20018,251,0.22
37.5,37.75,stg20018,252,0.34
37.6,37.85,stg20018,253,0.74
39.2,39.45,stg20018,254,0.0
39.3,39.55,stg20018,255,0.0
39.4,39.65,stg20018,256,0.0
39.5,39.75,stg20018,257,0.0
39.6,39.85,stg20018,258,0.0
39.7,39.95,stg20018,259,0.0
39.8,40.05,stg20018,260,0.0
39.9,40.15,stg20018,261,0.0
40.0,40.25,stg20018,262,0.0
40.1,40.35,stg20018,263,0.34
40.2,40.45,stg20018,264,0.74
40.3,40.55,stg20018,265,0.62
40.4,40.65,stg20018,266,0.22
40.5,40.75,stg20018,267,0.0
40.6,40.85,stg20018,268,0.0
41.1,41.35,stg20018,269,0.66
41.2,41.45,stg20018,270,0.48
41.3,41.55,stg20018,271,0.62
41.4,41.65,stg20018,272,0.9
41.5,41.75,stg20018,273,0.5
41.6,41.85,stg20018,274,0.1
41.7,41.95,stg20018,275,0.0
41.8,42.05,stg20018,276,0.0
41.9,42.15,stg20018,277,0.0
42.0,42.25,stg20018,278,0.0
42.1,42.35,stg20018,279,0.0
42.2,42.45,stg20018,280,0.0
42.3,42.55,stg20018,281,0.0
42.4,42.65,stg20018,282,0.26
42.5,42.75,stg20018,283,0.66
42.6,42.85,stg20018,284,1.0
44.7,44.95,stg20018,285,0.0
44.8,45.05,stg20018,286,0.0
44.9,45.15,stg20018,287,0.0
45.0,45.25,stg20018,288,0.0
45.1,45.35,stg20018,289,0.0
45.2,45.45,stg20018,290,0.0
45.3,45.55,stg20018,291,0.0
45.9,46.15,stg20018,292,0.0
46.0,46.25,stg20018,293,0.34
46.1,46.35,stg20018,294,0.0
47.1,47.35,stg20018,295,0.4
47.2,47.45,stg20018,296,0.8
47.3,47.55,stg20018,297,0.74
47.4,47.65,stg20018,298,0.34
47.8,48.05,stg20018,299,0.06
47.9,48.15,stg20018,300,0.46
48.0,48.25,stg20018,301,0.0
48.1,48.35,stg20018,302,0.3
48.2,48.45,stg20018,303,0.0
48.3,48.55,stg20018,304,0.0
48.4,48.65,stg20018,305,0.0
48.5,48.75,stg20018,306,0.0
48.6,48.85,stg20018,307,0.0
48.7,48.95,stg20018,308,0.0
48.8,49.05,stg20018,309,0.0
48.9,49.15,stg20018,310,0.0
49.0,49.25,stg20018,311,0.0
49.1,49.35,stg20018,312,0.0
49.7,49.95,stg20018,313,0.0
49.8,50.05,stg20018,314,0.0
49.9,50.15,stg20018,315,0.0
50.0,50.25,stg20018,316,0.26
50.1,50.35,stg20018,317,0.0
50.2,50.45,stg20018,318,0.5
50.3,50.55,stg20018,319,0.1
50.4,50.65,stg20018,320,0.0
50.5,50.75,stg20018,321,0.0
50.6,50.85,stg20018,322,0.0
50.7,50.95,stg20018,323,0.0
50.8,51.05,stg20018,324,0.0
50.9,51.15,stg20018,325,0.0
51.0,51.25,stg20018,326,0.0
51.1,51.35,stg20018,327,0.0
51.2,51.45,stg20018,328,0.0
51.3,51.55,stg20018,329,0.0
51.4,51.65,stg20018,330,0.0
51.5,51.75,stg20018,331,0.0
51.6,51.85,stg20018,332,0.0
51.7,51.95,stg20018,333,0.0
51.8,52.05,stg20018,334,0.0
51.9,52.15,stg20018,335,0.0
52.0,52.25,stg20018,336,0.0
52.1,52.35,stg20018,337,0.08
52.2,52.45,stg20018,338,0.48
52.3,52.55,stg20018,339,0.06
52.4,52.65,stg20018,340,0.54
52.5,52.75,stg20018,341,0.14
52.6,52.85,stg20018,342,0.1
52.7,52.95,stg20018,343,0.0
52.8,53.05,stg20018,344,0.0
52.9,53.15,stg20018,345,0.0
53.0,53.25,stg20018,346,0.37
53.1,53.35,stg20018,347,0.0
53.2,53.45,stg20018,348,0.34
53.3,53.55,stg20018,349,0.0
53.4,53.65,stg20018,350,0.0
53.5,53.75,stg20018,351,0.0
53.6,53.85,stg20018,352,0.0
53.7,53.95,stg20018,353,0.0
53.8,54.05,stg20018,354,0.0
53.9,54.15,stg20018,355,0.0
54.0,54.25,stg20018,356,0.0
54.1,54.35,stg20018,357,0.0
54.2,54.45,stg20018,358,0.0
54.3,54.55,stg20018,359,0.0
54.4,54.65,stg20018,360,0.0
54.5,54.75,stg20018,361,0.0
55.7,55.95,stg20018,362,0.0
55.8,56.05,stg20018,363,0.0
55.9,56.15,stg20018,364,0.0
56.0,56.25,stg20018,365,0.0
56.1,56.35,stg20018,366,0.0
56.2,56.45,stg20018,367,0.0
56.3,56.55,stg20018,368,0.0
56.4,56.65,stg20018,369,0.0
56.5,56.75,stg20018,370,0.0
56.6,56.85,stg20018,371,0.31
56.7,56.95,stg20018,372,0.0
56.8,57.05,stg20018,373,0.58
56.9,57.15,stg20018,374,0.18
57.0,57.25,stg20018,375,0.14
57.1,57.35,stg20018,376,0.0
57.2,57.45,stg20018,377,0.0
57.3,57.55,stg20018,378,0.02
57.7,57.95,stg20018,379,0.0
57.8,58.05,stg20018,380,0.0
57.9,58.15,stg20018,381,0.0
58.0,58.25,stg20018,382,0.0
58.1,58.35,stg20018,383,0.0
58.2,58.45,stg20018,384,0.0
58.3,58.55,stg20018,385,0.0
58.4,58.65,stg20018,386,0.0
